Identificador,Nombre,Categoría,Última versión,Liga,Fecha de creación,Fecha de última modificación,Se utiliza?
P16,P16_Proceso de retrospective,Procesos,,https://berry-cymbal-363.notion.site/P16_Proceso-de-retrospective-9e356c5b62be47cb8cb563696a8e04da,,,No
P17,P17_Proceso de reunión de roles,Procesos,,https://berry-cymbal-363.notion.site/P17_Proceso-de-reuni-n-de-roles-8fd4dd93f94a4cd0b64e813e9d4de41a,,,No
P18,P18_Creación de pull request,Procesos,,https://berry-cymbal-363.notion.site/P18_Creaci-n-de-pull-request-b11c58cb1ce14b42950a56f0b4e618cf,,,No
P19,P19_Sprint Planning,Procesos,,https://berry-cymbal-363.notion.site/P19_Sprint-Planning-38496412c5c84378b582eb61bfc071ff,,,No
P20,P20_Toma de decisiones,Procesos,,https://berry-cymbal-363.notion.site/P20_Toma-de-decisiones-1c63004a533c4261979129dee36c2501,,,No
P21,"P21_Manejo de riesgos ",Procesos,,https://berry-cymbal-363.notion.site/P21_Manejo-de-riesgos-349b15b299e846beb45066c69dddea68,,,No
PL09,PL09_Requerimientos,Plantillas,,https://berry-cymbal-363.notion.site/PL09_Requerimientos-3c7ce01a54154f9196da0cf0ba23b88f,,,No
PL07,PL07_Plan de Comunicación,Plantillas,,https://berry-cymbal-363.notion.site/PL07_Plan-de-Comunicaci-n-0a06bfc99c1548ff92046fb751e4bcdc,,,No
PL08,PL08_Sprint Retrospective,Plantillas,,https://berry-cymbal-363.notion.site/PL08_Sprint-Retrospective-c2762413ae9a45308638bcc34ba1e5a7,,,No
PL06,PL06_Auditoria,Plantillas,,https://berry-cymbal-363.notion.site/PL06_Auditoria-d6711de344ae486cb1ffc68037d9ae81,,,No
PL05,PL05_Plan de Iteración,Plantillas,,https://berry-cymbal-363.notion.site/PL05_Plan-de-Iteraci-n-79917292673a47a4b2134da7761ea0a7,,,No
PL01,PL01_Minuta,Plantillas,,https://berry-cymbal-363.notion.site/PL01_Minuta-56a39b3d9fb14aa8bd630e7836d8fafb,,,No
PL04,PL04_Acta de Proyecto,Plantillas,,https://berry-cymbal-363.notion.site/PL04_Acta-de-Proyecto-e1273403effb4d078bdde9d828ebbe13,,,No
PL02,PL02_Cronograma,Plantillas,,https://berry-cymbal-363.notion.site/PL02_Cronograma-efcaa06ae0f743d0a944e244cb50c4ba,,,No
PL03,PL03_Creación de Procesos,Plantillas,,https://berry-cymbal-363.notion.site/PL03_Creaci-n-de-Procesos-5213d4ff6e93472fa1f37d3651463782,,,No
G01,G01_Reporte de Estado,Guías,,https://berry-cymbal-363.notion.site/G01_Reporte-de-Estado-e737cc2447ea4cd283d7f7b4f3e4ea29,,,No
G02,G02_Team Leader,Guías,,https://berry-cymbal-363.notion.site/G02_Team-Leader-8c15181053ab41cd907240ee35242817,,,No
G03,G03_Pair Programming,Guías,,https://berry-cymbal-363.notion.site/G03_Pair-Programming-082432fd59c346259eddeb22a2abea34,,,No
G04,G04_Identificación de elementos de la configuración y líneas base,Guías,,https://berry-cymbal-363.notion.site/G04_Identificaci-n-de-elementos-de-la-configuraci-n-y-l-neas-base-81ed479aea0d45db89846463687d2a6f,,,No
PL12,PL12_Plan de Riesgos,Plantillas,,https://berry-cymbal-363.notion.site/PL12_Plan-de-Riesgos-a17640175ab84a00b893729ff62c499a,,,No
PL10,PL10_Fase de inicio,Plantillas,,https://berry-cymbal-363.notion.site/PL10_Fase-de-inicio-661e4856e2c8415db9ef2e6db52b98c5,,,No
PL11,PL11_WBS,Plantillas,,https://berry-cymbal-363.notion.site/PL11_WBS-d2b272431a224c0fb05d517d92716d73,,,No
PL14,PL14_Checklist de Implementación,Plantillas,,https://berry-cymbal-363.notion.site/PL14_Checklist-de-Implementaci-n-9f84d98979934903a0134a838d083f0d,,,No
PL13,PL13_Junta departamental,Plantillas,,https://berry-cymbal-363.notion.site/PL13_Junta-departamental-b176899f900f4044961c9505731aca62,,,No
E01,E01_Elementos de configuración y líneas base.,Estándares,,https://berry-cymbal-363.notion.site/E01_Elementos-de-configuraci-n-y-l-neas-base-14bf0cdb2ba24eb2b0002ae5b08bc493,,,No
