Test Case ID,Historia de Usuario,Caso de prueba,Resultado Esperado,Status,Fecha de Ejecución,Encargado,Iteración,Evidencia,Comentario
3,Registrar estudio del paciente,"El usuario se autentica con el rol de químico, da clic en el botón para registrar el estudio del paciente y deja vacíos algunos datos requeridos",Se muestra un cuadro de error en la parte inferior del campo y el botón de guardar esta deshabilitado,Aprobado,"May 30, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
4,Registrar estudio del paciente,El usuario se autentica con el rol de químico da clic en el botón para registrar el estudio del paciente y ingresa tipos de datos incorrectos,Se muestra un cuadro de error en la parte inferior del campo y el botón de guardar esta deshabilitado,No reproducible,"May 30, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
5,Registrar estudio del paciente,El usuario se autentica con cualquier otro rol,No se muestran los botones para registrar el estudio del paciente,Aprobado,"May 29, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
6,Registrar estudio del paciente,El usuario da clic en el botón de regresar,Se regresa a la vista anterior,Aprobado,"May 29, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
7,Registrar estudio del paciente,Usuario intenta acceder a la ruta con rol diferente al de quimico.,Se muestra mensaje de error que no cuenta con autorizacion para acceder a ruta,Aprobado,"May 29, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Consultar los tipos de estudio,El usuario se autentica con el rol de administrador e ingresa a la sección de tipos de estudio.,Se desgloza los tipos de estudio correctamente,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,Consultar los tipos de estudio,"El usuario se autentica con el rol de quimico, de click en detalle del estudio",Dentro del detalle de paciente encuentra los tipos de estudio correctamente,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,Consultar los tipos de estudio,"El usuario ingresa con el rol de doctor, nutriologo y psicologo, no tiene los roles necesarios",No se muestran los tipos de estudio y no se puede acceder a la información,No reproducible,,Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
4,Consultar los tipos de estudio,El usuario se autentica con el rol de quimico e ingresa a la página con los permisos necesarios para ver los tipos de estudio registrados en el sistema dentro de la información de un paciente.,Se le desgloza los tipos de estudio correctamente,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
5,Consultar los tipos de estudio,Error con la base de datos no permite obtener los datos correctamente,Se muestra un mensaje de error al obtener la información,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
6,Consultar los tipos de estudio,"El usuario se autentica con el rol de quimico o administrador, ingresa al detalle del tipo de estudio",Se carga la vista completa con infomación del estudio,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
7,Consultar los tipos de estudio,"El usuario se autentica con el rol de quimico, entra a la información de un paciente, ingresa al detalle del tipo de estudio y da click en el botón regresar",El sistema redirige a la vista donde estan todos los estudios,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
8,Consultar los tipos de estudio,"El usuario se autentica con el rol de doctor, nutriologo o psicologo e ingresa a la ruta de tipos de estudio",El sistema muestra un error de que no se cuenta con los permisos establecidos,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Consultar los estudios del paciente,"El usuario se autentica con el rol de químico, da clic en el detalle del paciente y luego da clic en el icono del detalle del estudio del paciente.",Se muestra la información del detalle del estudio del paciente,Aprobado,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
2,Consultar los estudios del paciente,"El usuario se autentica con el rol de químico, ya dentro del detalle del estudio del paciente da clic en el botón de editar estudio",Nos redirige a la vista de Editar estudio,No reproducible,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
3,Consultar los estudios del paciente,"El usuario se autentica con el rol de químico, ya dentro del detalle del estudio del paciente da clic en el botón de eliminar estudio",Se muestra un mensaje de estudio eliminado y nos regresa a la vista anterior,No reproducible,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
4,Consultar los estudios del paciente,"El usuario se autentica con el rol de doctor o nutrióloga, da clic en el detalle del paciente y luego da clic en el icono del resultado del estudio del paciente",Se muestra la información del resultado del estudio del paciente,Aprobado,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
5,Consultar los estudios del paciente,"El usuario se autentica con el rol de doctor o nutrióloga, ya dentro del detalle del estudio del paciente da clic en el botón de generar PDF",Se genera el PDF del resultado del estudio,No reproducible,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
6,Consultar los estudios del paciente,Error con la base de datos no permite obtener los datos correctamente,Se muestra un mensaje de error,Aprobado,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
7,Consultar los estudios del paciente,El usuario se autentica con cualquier otro rol,No se muestran los estudios del paciente,Aprobado,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
8,Consultar los estudios del paciente,El usuario da clic en el botón de regresar,Se regresa a la vista anterior,Aprobado,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
9,Consultar los estudios del paciente,"El usuario intenta acceder a la ruta con un rol diferente al del químico, doctor o nutrióloga",Se muestra un mensaje de error que no cuenta con autorización para acceder a la ruta,Aprobado,"May 31, 2022",Manolo Ramírez Pintor,IT3,,
1,Consultar información del paciente,"El usuario se autentica con el rol de trabajador social, da click en consultar información del paciente",Se desgloza la información del paciente correctamente,Aprobado,"May 30, 2022",Michelle Aylin Calzada Montes,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,Consultar información del paciente,"El usuario se autentica con el rol de Quimico, da click en consultar información del paciente",Se desgloza la información del paciente correctamente,Aprobado,"May 30, 2022",Michelle Aylin Calzada Montes,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,Consultar información del paciente,"El usuario se autentica con el rol de Doctor, da click en consultar información del paciente",Se desgloza la información del paciente correctamente,Aprobado,"May 30, 2022",Michelle Aylin Calzada Montes,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
4,Consultar información del paciente,"El usuario se autentica con el rol de Piscologo, da click en consultar información del paciente",Se desgloza la información del paciente correctamente,Aprobado,"May 30, 2022",Michelle Aylin Calzada Montes,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
5,Consultar información del paciente,El usuario no tiene los roles necesarios,No se muestra la lista de pacientes y no se puede acceder a la información,Aprobado,"May 30, 2022",Michelle Aylin Calzada Montes,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
6,Consultar información del paciente,El usuario se autentica e ingresa a la página con los permisos necesarios para ver la lista de pacientes registrados en el sistema,Se le desgloza la lista de pacientes activos correctamente,Aprobado,"May 30, 2022",Michelle Aylin Calzada Montes,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
7,Consultar información del paciente,Error con la base de datos no permite obtener los datos correctamente,Se muestra un mensaje de error al obtener la información,Aprobado,"May 30, 2022",Michelle Aylin Calzada Montes,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Registrar la información del colaborador,Un usuario con rol diferente al de administrador intenta hacer un post en la ruta /colaborador,Se muestra una pantalla con mensaje de error diciendo que no se tiene permiso o que no hay cómo acceder,Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona el botón de Registrar empleado",Se carga formulario en nueva pantalla con campos a llenar con información de empleado.,No reproducible,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona registrar empleado y llena correo electrónico o número de teléfono ya existente. Da click en Guardar",Se muestra mensaje de error mencionando que el campo respectivo ya existe,Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
4,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona registrar empleado y deja vacío alguno de los campos requeridos. Da click en Guardar",Se muestra un cuadro de error en la parte inferior del campo,Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
5,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona registrar empleado y al momento de repetir contraseña, la escribe diferente. Da click en Guardar","No se intenta enviar formulario, primero se muestra mensaje de error bajo el campo de repetir contraseña mencionando que es diferente a la escrita inicialmente.",Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
6,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona registrar empleado y escribe contraseña que no cumpla con estándar de seguridad de mínimo de caracteres, uso de al menos un dígito, mayúscula, minúscula y caracter especial.","No se intenta enviar formulario, se muestra criterio de seguridad utilizando el color rojo para mostrar que hace falta considerar este criterio dentro de la contraseña.",Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
7,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona registrar empleado y llena algún campo con un tipo de dato incorrecto. Da click en Guardar",Se muestra un cuadro de error en la parte inferior del campo mencionando que está mal tipo de dato,Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
8,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona registrar empleado y llena correctamente todos los campos necesarios. Da click en Guardar pero ocurre un error al guardar los datos",Se muestra un mensaje de error,Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
9,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona registrar empleado y da click en el botón de regresar.","Se carga vista anterior y no se registra nada en la base de datos, al entrar nuevamente a pantalla los campos del formulario están vacíos.",Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
10,Registrar la información del colaborador,El usuario se autentica con cualquier otro rol,No se muestra el botón de registrar empleado,Aprobado,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
11,Registrar la información del colaborador,"El usuario se autentica con rol de administrador, selecciona registrar empleado y llena correctamente todos los campos necesarios. Da click en Guardar","Se carga vista mostrando nuevo colaborador creado con toda su información, base de datos almacena información correctamente. Se muestra mensaje de confirmación. ",No reproducible,"June 30, 2022","Manolo Ramírez Pintor, Jorge Alan Ramírez Elías",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Consultar información del personal,"El usuario se autentica con el rol de administrador, da click en el detalle de un empleado",Se muestra la vista de Detalle del empleado,Aprobado,"June 5, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,Consultar información del personal,El usuario se autentica con otro rol,"No se muestra la lista del personal, por lo que no muestra el botón de ver detalle",No reproducible,"June 5, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,Consultar información del personal,"El usuario se autentica con el rol de administrador, da click en el detalle de un empleado pero el botón no sirve",Se muestra un mensaje de error,No reproducible,"June 5, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
4,Consultar información del personal,"El usuario se autentica con el rol de administrador, da click en el detalle de un empleado pero no muestra el detalle del empleado",Se muestra un mensaje de error,No reproducible,"June 5, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
5,Consultar información del personal,El usuario se autentica con otro rol y escribe la ruta hacia consultar información del personal,La pantalla muestra que no tiene los roles necesarios,Aprobado,"June 5, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
6,Consultar información del personal,El usuario da click en el botón de regresar,Se regresa a la vista anterior,Aprobado,"June 5, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Generar archivo PDF de los estudios,El usuario se autentica con el rol de doctor o químico,"Se muestra la columna PDF en la ""Estudios de laboratorio”",Aprobado,"June 6, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,Generar archivo PDF de los estudios,El usuario se autentica con otro rol,"No se muestra la tabla de estudios de ""Estudios de laboratorio”",Aprobado,"June 6, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,Generar archivo PDF de los estudios,"El usuario da click en icono de PDF de un estudio en la tabla ""Estudios de laboratorio”",Se muestra la vista del PDF con la información correspondiente al estudio seleccionado,Aprobado,"June 6, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
4,Generar archivo PDF de los estudios,"El usuario da click en el boton de ""Descargar o Imprimir PDF”",Se despliega una vista para imprimir o descargar el PDF,Aprobado,"June 6, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
5,Generar archivo PDF de los estudios,"El usuario selecciona en destino ""Guardar como PDF"" y da click en ""Guardar”",Se descarga el PDF,Aprobado,"June 6, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
6,Generar archivo PDF de los estudios,"El usuario selecciona en destino una impresora y da click en ""Imprimir”",Se imprime el PDF,Aprobado,"June 6, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
7,Generar archivo PDF de los estudios,El usuario abre el PDF descargado,El PDF contiene la información tal cual como se vio en la vista de generar PDF,Aprobado,"June 6, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,"Eliminar estudio del paciente ",El usuario se autentica con el rol de Quimico da click en el detalle de un paciente y da click en el detalle de un estudio de la tabla Estudios de laboratorio,Se muestra el botón de borrar estudio en la vista de Detalle de estudio del paciente,Aprobado,"June 7, 2022",Eduardo Rodríguez Gil,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,"Eliminar estudio del paciente ",El usuario se autentica con otro rol,No se muestra el botón de borrar estudio en la vista de Detalle de estudio del paciente,Aprobado,"June 7, 2022",Eduardo Rodríguez Gil,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,"Eliminar estudio del paciente ",El usuario da click al boton de Eliminar estudio,Se muestra mensaje de operación realizada y se redirije a la vista de detalle de aciente.,Aprobado,"June 7, 2022",Eduardo Rodríguez Gil,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Eliminar tipo de estudio,El usuario se autentica con el rol de Administrador da click en el detalle de un paciente y da click en el detalle de un estudio de la tabla Estudios de laboratorio,Se muestra el botón de borrar tipo de estudio en la vista de Detalle de estudio del paciente,Aprobado,"June 7, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,Eliminar tipo de estudio,El usuario se autentica con otro rol,No se muestra el botón de borrar tipo de estudio en la vista de Detalle del tipo de estudio,Aprobado,"June 7, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,Eliminar tipo de estudio,El usuario da click al botón de Eliminar estudio,Se muestra mensaje de operación realizada y se redirige a la vista de detalle de paciente.,Aprobado,"June 7, 2022",Carolina Herrera Martínez,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Modificar información del paciente,"El usuario se autentica con el rol de Trabajador social y da click en ""Editar paciente"" dentro de la vista del detalle del paciente",Se muestra la vista para editar al paciente,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,Modificar información del paciente,El usuario se autentica con otro rol,No se muestra el botón para editar al paciente,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,Modificar información del paciente,El usuario con otro rol accede a la vista de editar paciente mediante la URL,Le da un error de acceso denegado,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
4,Modificar información del paciente,El usuario como edita cualquiera de los campos de la vista de editar al paciente,Se envían los cambios al sistema y se redirige al detalle del paciente con los cambios realizados,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
5,Modificar información del paciente,El usuario intenta poner una fecha menor a 1920,Da error y no deja registrar cambios,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
6,Modificar información del paciente,El usuario intenta poner una fecha de hoy (-1) o futura,Da error y no deja registrar cambios,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
7,Modificar información del paciente,El usuario elimina los campos no requeridos del paciente,Se envían los cambios al sistema y se redirige al detalle del paciente con los cambios realizados,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
8,Modificar información del paciente,El usuario elimina los campos requeridos del paciente,Da error y no deja registrar cambios,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
