# Test Case ID,Historia de Usuario,Casos de Prueba,Status,Fecha de Ejecución,Encargado,Iteración,Evidencia
2,Registrar la información del coloborador,"Se debe permitir registros tan solo provenientes de la aplicación, es decir no un Post cualquiera a la ruta con un json",Aprobado,"June 3, 2022","  ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
3,Registrar la información del coloborador,La contraseña debe tener un formato válido,Aprobado,"June 3, 2022","  ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
4,Registrar la información del coloborador,El correo electrónico y el número de teléfono debe tener un formato válido y ser único,Aprobado,"June 3, 2022","  ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Consultar información del personal,El usuario debe de estar autenticado y tener un rol de administrador para poder consultar la información del personal,Aprobado,"June 5, 2022"," ",IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Consultar información del personal,Se debe validar que el backend no entregue información sensible sin antes haber recibido credenciales apropiadas,Aprobado,"June 5, 2022"," ",IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Generar archivo PDF,La ruta de la vista del PDF generado solo debe tener acceso los usuarios con el rol correspondiente.,Aprobado,"June 6, 2022"," ",IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Generar archivo PDF,Solo las personas con el rol correspondiente pueden ver la tabla de estudios de laboratorio.,Aprobado,"June 6, 2022"," ",IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Eliminar estudio paciente,Los usuarios deben estar autenticados y tener un rol de Químico para poder borrar un estudio del paciente,Aprobado,"June 7, 2022"," ",IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Eliminar un tipo de estudio,Los usuarios deben estar autenticados y tener un rol de Administrador para poder borrar un estudio del paciente,Aprobado,"June 7, 2022"," ",IT4,
1,Modificar información del paciente,"Los usuarios deben estar autenticados y tener un rol de ""Trabajador social"" para poder modificar los datos del paciente",Aprobado,"June 8, 2022"," ",IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Registrar resumen de consulta,"Los usuarios deben estar autenticados y tener un rol de doctor, psciólogo o nutriólogo para poder registrar un resumen de consutla",Aprobado,"June 8, 2022",,,
2,Registrar resumen de consulta,El campo no debe de estar vacío,Aprobado,"June 8, 2022",,,
3,Registrar resumen de consulta,"Se debe permitir registros tan solo provenientes de la aplicación, es decir no un Post cualquiera a la ruta con un json",Aprobado,"June 8, 2022",,,
